id,ra,dec,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,votes,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
588848900971954000,147.02167,0.75447111,0.062018,17.294437,15.267824,14.31944,13.896521,13.579482,8.628164,0.691723,5.460909,0.642632,11.480054,49,0.98000002,0,0,1,0
588848900971954000,146.934,0.81888985,0.154442,21.023129,18.673243,17.563122,17.104713,16.784073,1.816076,0.381803,1.291557,0.428125,10.986843,28,0.368,0.40599999,0,0,1
588848900435214000,147.29397,0.38134272,0.109799,20.095697,18.58647,17.671516,17.195539,16.831667,9.566517,0.177282,4.288326,0.199999,10.70223,22,0.019,0.83600003,0,0,1
587728948510326000,149.17153,-0.41298084,0.085466,19.85117,17.902842,17.015541,16.607216,16.294044,1.587321,0.473387,1.185745,0.503266,10.60318,34,0.56099999,0.347,0,0,1
588848899899195000,149.15457,-0.11572062,0.166888,20.036844,18.448687,17.495943,17.027142,16.714931,2.361415,0.627483,1.289706,0.744645,11.015896,31,0.042,0.91900003,1,0,0
587728949047132000,149.02733,0.14326649,0.209054,20.990484,18.984892,17.731365,17.229668,16.908413,1.695026,0.660706,1.014836,0.710252,11.236549,21,0.801,0.199,1,0,0
587725074458869000,147.62973,-0.28923372,0.137868,19.772659,18.300089,17.409159,16.991005,16.707844,5.765923,0.605958,2.649724,0.643082,10.804293,30,0.287,0.47499999,0,0,1
587725074995675000,147.43912,0.04682992,0.092814,19.714863,17.754576,16.761673,16.345064,15.975007,1.580233,0.651125,1.06427,0.719468,10.876058,62,0.76599997,0.118,0,0,1
587725074458673000,147.22073,-0.29316914,0.0842,18.078951,16.124178,15.222878,14.823843,14.493635,5.507552,0.525332,3.505524,0.513921,11.296009,43,0.87199998,0.08,0,1,0
587726031697477000,147.62725,1.220489,0.130684,18.821442,17.787788,17.059147,16.621149,16.409395,1.182909,0.895297,0.940439,0.891154,10.871767,31,0.65499997,0.084,0,0,1
587725076069679000,147.99447,0.98467764,0.046662,18.903595,18.018154,17.717018,17.489916,17.347136,1.232855,0.775663,1.001014,0.806136,9.149796,26,0.514,0.36399999,0,0,1
587725075532742000,147.89718,0.43473978,0.020633,16.876167,15.914703,15.514196,15.348013,15.26827,9.003921,0.782199,3.978595,0.777012,9.396223,52,0.117,0.70999998,0,0,1
587725074995937000,148.0828,0.20366493,0.074963,18.044664,16.568974,15.854086,15.492942,15.216958,13.294692,0.579392,6.236462,0.579108,10.796874,32,0.133,0.86699998,1,0,0
587728949852045000,148.16746,0.53038622,0.077904,18.307499,16.335068,15.417274,14.996651,14.678967,3.886672,0.723177,2.098423,0.733336,11.230186,62,0.95499998,0.029,0,1,0
587727942422495000,148.16127,1.1031797,0.062874,19.250486,18.042141,17.610149,17.357561,17.20829,8.260045,0.319754,3.637677,0.358995,9.542772,54,0.183,0.704,0,0,1
587728949583806000,148.61056,0.47630546,0.079357,20.24441,18.246258,17.414932,17.074095,16.663891,0.545597,0.851113,0.652292,0.899884,10.650498,27,0.78200001,0.065,0,0,1
587728950120612000,148.41749,0.9181401,0.046954,19.488426,17.831791,17.046392,16.673679,16.40608,1.383562,0.640006,0.995902,0.681087,9.945056,33,0.75999999,0.148,0,0,1
588848900972609000,148.54049,0.76850027,0.090068,19.225468,17.975538,17.446199,17.07564,16.912727,7.157936,0.866343,2.908757,0.887978,10.093349,33,0.028,0.94,1,0,0
587728949584003000,149.00909,0.44023281,0.088239,18.841389,17.933746,17.555351,17.239689,17.151016,5.327216,0.366135,2.581619,0.408724,9.909039,64,0.07,0.80699998,1,0,0
587728949047197000,149.19443,0.20273723,0.08777,18.08375,16.235209,15.295608,14.872383,14.545616,4.354206,0.75887,2.38928,0.77256,11.331427,23,0.92199999,0.078,0,1,0
588848898825781000,149.99906,-0.86914128,0.07604,17.976868,16.076273,15.216282,14.811007,14.516274,4.062594,0.822034,2.765844,0.763163,11.19414,18,1,0,0,1,0
588848899899719000,150.40177,-0.16385996,0.136826,19.55147,17.627863,16.563375,16.13759,15.756525,2.413856,0.624085,1.537956,0.6687,11.266772,56,0.89300001,0.071,0,0,1
587728948510851000,150.37208,-0.21492055,0.061915,19.16914,17.207981,16.339436,15.922088,15.588388,1.472343,0.855467,1.016445,0.819177,10.614863,26,0.61500001,0.192,0,0,1
587728947973783000,149.91562,-0.7848048,0.094543,18.782701,17.587273,17.132381,16.835226,16.730633,5.660536,0.809543,2.502549,0.825416,10.151341,25,0.133,0.86699998,1,0,0
588848899899654000,150.31918,-0.0307097,0.032706,18.70755,17.671591,17.282133,17.056747,16.95031,6.445408,0.566129,2.750998,0.625892,8.880196,44,0.41800001,0.417,0,0,1
587728949047656000,150.19126,0.02483009,0.06204,18.755594,16.853937,15.986019,15.570841,15.26891,2.36254,0.424267,1.582011,0.439748,10.732673,35,0.77100003,0.171,0,0,1
587728949047066000,148.81068,0.16484644,0.214898,20.130754,18.41206,17.331236,16.856773,16.513672,4.107387,0.564094,2.090253,0.588394,11.271377,35,0.64700001,0.26199999,0,0,1
588848899898605000,147.86306,-0.16839547,0.125802,18.557386,17.491442,16.943687,16.566711,16.352896,7.142483,0.629681,3.088603,0.660607,10.678321,30,0.058,0.90399998,1,0,0
588848899898605000,147.85775,-0.04388436,0.074483,19.44891,18.207407,17.708523,17.408739,17.202789,5.28523,0.578909,2.378053,0.618606,9.783442,39,0.183,0.57499999,0,0,1
588848899898474000,147.63436,-0.09822383,0.132893,19.723391,17.99774,16.948198,16.514965,16.181139,1.815108,0.825963,1.201683,0.805347,11.078622,47,0.71499997,0.255,0,0,1
588848898824601000,147.20493,-0.88747863,0.230787,19.575512,18.526251,17.722168,17.256931,16.993422,3.434241,0.728172,1.83065,0.717861,11.141475,24,0.82200003,0.13600001,0,1,0
588848899361538000,147.39993,-0.55694386,0.126785,19.64871,17.70191,16.670301,16.191513,15.775067,3.52291,0.465563,2.017861,0.483734,11.235981,29,0.52100003,0.384,0,0,1
587725076069286000,147.16742,0.9439156,0.166103,19.453856,18.334404,17.53908,17.181189,16.920557,4.969305,0.681492,2.349795,0.712879,10.801168,57,0.243,0.56599998,0,0,1
588848900435476000,147.86458,0.25588937,0.085838,18.739553,17.253151,16.502171,16.013157,15.710115,16.951544,0.251817,6.354771,0.27501,10.847272,25,0.021,0.97899997,1,0,0
587727942422429000,147.91077,1.0319759,0.093927,19.781708,17.982132,17.04418,16.6276,16.292589,1.649454,0.728971,1.234668,0.728671,10.720271,28,0.73900002,0.22,0,0,1
588848900972347000,147.89741,0.67591946,0.093619,20.694881,18.515684,17.507423,17.032095,16.726723,1.12603,0.470576,0.980519,0.526059,10.628935,37,0.59100002,0.229,0,0,1
588848900972609000,148.40289,0.75513614,0.095018,19.324722,17.407221,16.497004,16.120104,15.81767,3.854884,0.559471,2.261262,0.562077,10.843331,50,0.33500001,0.602,0,0,1
587728949583937000,148.90099,0.60628011,0.173107,20.630058,19.539631,18.797632,18.432943,18.164997,3.141932,0.421062,1.607558,0.473997,10.919695,38,0,0.026,0,0,1
588848900972675000,148.60079,0.82368711,0.047601,17.34454,15.464233,14.611897,14.20704,13.912825,6.301836,0.728765,4.37883,0.681954,11.031387,36,0.94099998,0.031,0,1,0
588848900972740000,148.76194,0.75748407,0.047138,17.952152,16.931267,16.568783,16.326015,16.187876,17.391985,0.537653,5.909781,0.585141,9.616385,25,0.022,0.97799999,1,0,0
