id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
588848899899654000,0.095082,18.693542,16.990381,16.132668,15.708946,15.397095,8.461102,0.391427,3.852502,0.411275,10.999968,1
587728947973652000,0.085433,18.723856,16.877455,15.973515,15.554743,15.236932,3.198552,0.701918,1.906589,0.71517,11.039133,0
588848899362521000,0.033072,17.950716,16.915718,16.452257,16.161688,15.91884,12.319982,0.208583,5.608627,0.227308,9.600967,1
587728948510654000,0.046468,18.307625,16.466375,15.652836,15.289754,14.984618,3.525112,0.725569,2.333243,0.685065,10.512634,0
587728949047460000,0.072874,18.682241,17.450058,16.91317,16.562626,16.2997,7.939378,0.418757,3.559157,0.441536,10.195462,1
587728948510458000,0.088526,18.681936,16.797159,15.834402,15.396843,15.050943,4.342711,0.851005,2.319697,0.831166,11.174479,0
588848898825388000,0.137712,20.257545,18.266703,17.40497,16.91728,16.520205,15.34763,0.080024,5.926767,0.133001,11.01178,1
587728949047721000,0.032186,18.078833,16.742479,16.138102,15.765435,15.493405,15.709485,0.267999,6.20372,0.273128,9.93179,1
587728949047328000,0.035404,18.186066,16.932669,16.520788,16.243942,16.180553,15.87964,0.24667,6.109409,0.266484,9.44934,1
587728949047263000,0.083439,20.088387,18.245743,17.308121,16.84325,16.457788,2.230496,0.373779,1.39266,0.458874,10.576591,1
587728949047263000,0.065746,18.703886,17.305094,16.684649,16.315647,16.077347,7.049742,0.445228,3.398929,0.448747,10.267179,1
587728949584396000,0.044834,17.396664,15.759522,15.03106,14.688013,14.405485,10.744849,0.518975,5.547927,0.464144,10.64255,1
588848900973330000,0.033373,16.684429,14.85048,14.041191,13.620494,13.318877,8.028004,0.672962,4.985745,0.683748,10.932199,1
587728949584527000,0.092838,19.535017,17.631886,16.727278,16.32107,16.001732,2.100576,0.632093,1.292751,0.665191,10.78716,1
588848900436656000,0.032409,18.375757,17.125143,16.54818,16.245584,15.96766,10.962308,0.395292,4.652638,0.415004,9.638924,1
587728947975356000,0.040439,19.27211,17.568918,16.798674,16.441154,16.158356,5.331748,0.725598,2.494936,0.763876,9.910633,0
587728948512293000,0.095323,19.319952,17.473118,16.497669,16.061934,15.683691,2.069606,0.915309,1.439123,0.823433,11.008225,0
587728947974832000,0.190908,21.114531,18.803946,17.546703,17.075094,16.665571,1.518333,0.69714,1.008732,0.742725,11.270762,0
587728948511637000,0.045235,16.581352,14.992992,14.29741,13.933677,13.665813,4.898501,0.734441,3.520563,0.680434,10.964179,0
587728950122184000,0.121516,19.572292,17.897753,17.01899,16.644733,16.276577,2.804138,0.639852,1.54398,0.593437,10.794865,1
